course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
895302,Adobe After Effect: Create 15 Advance Motion Graphic Element,30,Paid,140,6,21,All Levels,0.98,2.5,07-07-2016,2016,7,Graphic Design,4200
37821,Quick and Quirky Caricatures - Learn in an Hour!,20,Paid,139,14,9,Intermediate Level,0.98,1.5,24-01-2013,2013,1,Graphic Design,2780
801186,Lettering,40,Paid,135,33,14,Intermediate Level,0.98,1.5,24-03-2016,2016,3,Graphic Design,5400
46524,Rock-Solid Brands,20,Paid,134,4,13,All Levels,0.98,0.516666667,17-02-2016,2016,2,Graphic Design,2680
68876,How to Create Top Ranking Mobile App Icons - iOS Edition,35,Paid,130,6,13,All Levels,0.98,1,30-07-2013,2013,7,Graphic Design,4550
804096,Curso Completo de SolidWorks 2016.,30,Paid,129,27,43,All Levels,0.98,9,29-12-2016,2016,12,Graphic Design,3870
1202746,Curso Online de Adobe Illustrator CC e CS6,80,Paid,126,18,119,All Levels,0.98,13,04-05-2017,2017,5,Graphic Design,10080
968268,Photoshop: Organización de eventos y decoración de fiestas,120,Paid,125,5,56,Beginner Level,0.98,8.5,18-10-2016,2016,10,Graphic Design,15000
366194,Complete Portrait and Figure Drawing (step-by-step),20,Paid,124,8,16,Intermediate Level,0.98,1.5,17-12-2014,2014,12,Graphic Design,2480
733654,なぞるだけですぐできる! 簡単手描きイラスト講座,30,Paid,123,12,48,All Levels,0.98,3,16-02-2016,2016,2,Graphic Design,3690
489114,The Complete Video Production Guide - Learn Top Video Tools,195,Paid,121,9,77,Beginner Level,0.98,7.5,25-05-2015,2015,5,Graphic Design,23595
1184664,Design Business Card in Photoshop: Earn Money by Doing It,50,Paid,120,10,29,Beginner Level,0.98,3.5,24-04-2017,2017,4,Graphic Design,6000
946326,"Learn Calligraphy, Handwriting animation wz After Effects",40,Paid,116,1,18,All Levels,0.98,2.5,03-11-2016,2016,11,Graphic Design,4640
536780,Adobe Illustrator CC - From scratch,45,Paid,115,12,24,Beginner Level,0.98,5.5,26-06-2015,2015,6,Graphic Design,5175
1093446,ABC do Adobe Illustrator,35,Paid,115,15,56,All Levels,0.98,5.5,06-02-2017,2017,2,Graphic Design,4025
981684,Adobe InDesign CC Advanced,30,Paid,114,24,50,Intermediate Level,0.98,3.5,18-10-2016,2016,10,Graphic Design,3420
724824,Photoshop　中級者、上級者がプロになるために最後に学ぶ「超絶技巧」テクニック,85,Paid,113,5,39,Beginner Level,0.98,4.5,12-01-2016,2016,1,Graphic Design,9605
