course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
373636,Master the Trombone: Intermediate Instruction Made Simple!,50,Paid,231,7,110,Beginner Level,0.02,9,04-03-2015,2015,3,Musical Instruments,11550
207440,Super-Curso de Guitarra Práctico Para Principiantes,85,Paid,228,26,215,Beginner Level,0.02,10.5,30-06-2014,2014,6,Musical Instruments,19380
214328,Piano Lessons for the R&B Fan,20,Paid,228,2,64,Intermediate Level,0.02,8,13-05-2014,2014,5,Musical Instruments,4560
459804,Learn to Play the Tuba: Beginner to Pro in Under Five Hours!,50,Paid,225,19,106,All Levels,0.02,6,15-04-2015,2015,4,Musical Instruments,11250
1048302,Learn Travis Picking From Scratch,40,Paid,219,30,25,All Levels,0.02,1.5,01-01-2017,2017,1,Musical Instruments,8760
184324,Advanced Saxophone Studies - Learn to Master the Saxophone!,50,Paid,215,5,80,Beginner Level,0.02,4,18-03-2014,2014,3,Musical Instruments,10750
589900,The 7 Day Guitar Method,20,Paid,213,4,11,All Levels,0.02,2.5,26-10-2015,2015,10,Musical Instruments,4260
631444,Aprendiendo piano: Lectura de piezas clásicas Vol.I,50,Paid,211,12,30,All Levels,0.02,1.5,08-10-2015,2015,10,Musical Instruments,10550
90132,Didgeridoo - from zero to HERO! Part Three. Advanced level.,35,Paid,209,5,19,All Levels,0.02,1.5,10-10-2014,2014,10,Musical Instruments,7315
605074,Advanced Flute Studies - Learn to Master the Flute!​,50,Paid,205,4,95,Beginner Level,0.02,5,07-09-2015,2015,9,Musical Instruments,10250
457206,Learn to Play Bassoon: Beginner to Pro in Under Four Hours!,50,Paid,205,11,77,Beginner Level,0.02,5,15-04-2015,2015,4,Musical Instruments,10250
263672,Classical Guitar Finger-Picking: Right Hand Arpeggios,195,Paid,200,11,19,All Levels,0.02,2,24-07-2014,2014,7,Musical Instruments,39000
760066,Blues Guitar Lessons - Volume 1 - Blues Shuffle Essentials,45,Paid,198,21,15,Intermediate Level,0.39,2.5,12-02-2016,2016,2,Musical Instruments,8910
761584,Guitar Lessons - Soloing With Arpeggios - Essential Guide,45,Paid,198,11,34,All Levels,0.11,5,13-02-2016,2016,2,Musical Instruments,8910
459468,Advanced Bassoon Studies - Learn to Master the Bassoon!​,50,Paid,197,0,106,Intermediate Level,0.8,6.5,15-04-2015,2015,4,Musical Instruments,9850
344180,Play the Jews Harp - instant skills for non musicians.,25,Paid,196,16,35,All Levels,0.96,2.5,22-01-2015,2015,1,Musical Instruments,4900
665278,Walking Bass - Quick Start Guide,50,Paid,193,20,31,Beginner Level,0.76,1,10-12-2015,2015,12,Musical Instruments,9650
