course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
569436,How to Become an Accountant from scratch!,40,Paid,1169,7,15,Intermediate Level,0.98,3,20-08-2015,2015,8,Business Finance,46760
600206,Business Accounting Made Easy,50,Paid,1168,5,26,Beginner Level,0.98,5.5,05-09-2015,2015,9,Business Finance,58400
196164,Studying the CFA Program exams (Mandarin language version),0,Free,1168,9,5,All Levels,0.98,0.666666667,09-04-2014,2014,4,Business Finance,0
403602,Forex Killing Divergence - How to trade with precision,20,Paid,1168,38,11,Beginner Level,0.98,0.683333333,25-01-2015,2015,1,Business Finance,23360
1170894,Python Algo Stock Trading: Automate Your Trading!,95,Paid,1165,21,41,Beginner Level,0.98,2.5,28-05-2017,2017,5,Business Finance,110675
364810,Double your Forex Account using the MAGIC MA trading robot,65,Paid,1160,117,24,All Levels,0.98,2.5,10-12-2014,2014,12,Business Finance,75400
507778,How to become a successful day trader,95,Paid,1150,6,27,All Levels,0.98,2.5,25-05-2015,2015,5,Business Finance,109250
1023670,Investing in stocks: Avoid stock market loss,125,Paid,1136,12,13,Intermediate Level,0.98,1,29-11-2016,2016,11,Business Finance,142000
627706,Awaken the Accountant in You | Master the Accounting Basics,35,Paid,1135,10,16,Beginner Level,0.98,1.5,24-11-2015,2015,11,Business Finance,39725
530246,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,20,Paid,1132,33,18,Intermediate Level,0.9,1,20-07-2015,2015,7,Business Finance,22640
494800,Accounting Basics - A Complete Study,180,Paid,1132,70,332,All Levels,0.46,29,06-05-2015,2015,5,Business Finance,203760
674352,Trading Robot Forex Programs in Your Sleep in Live Examples!,200,Paid,1125,11,18,Beginner Level,0.55,1.5,28-01-2016,2016,1,Business Finance,225000
1131122,IPO Fundamentals,20,Paid,1122,13,6,All Levels,0.15,1,02-03-2017,2017,3,Business Finance,22440
1194426,The Binary Institute - Introductory Course in Binary Options,0,Free,1121,12,6,Beginner Level,0.3,1,27-04-2017,2017,4,Business Finance,0
1076920,Stock Market investment: Practical Accounting,125,Paid,1120,6,43,Beginner Level,0.47,3,23-01-2017,2017,1,Business Finance,140000
757450,Bulletproof Personal Finance: Expert Asset Allocation,45,Paid,1119,22,18,All Levels,0.14,1,10-02-2016,2016,2,Business Finance,50355
716136,build a solid foundation for trading options,20,Paid,1115,8,8,Beginner Level,0.68,1,26-05-2016,2016,5,Business Finance,22300
791422,Succeed in Bonds Even if You Don't Know Where to Start,200,Paid,1113,6,8,Intermediate Level,0.03,1,03-02-2017,2017,2,Business Finance,222600
