course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
756914,MongooseJS Essentials - Learn MongoDB for Node.js,0,Free,21682,1106,8,Beginner Level,0.01,0.733333333,12-03-2016,2016,3,Web Development,0
30243,Mastering HTML5 Programming - The Easier Way,75,Paid,21653,138,35,All Levels,0.55,7,07-01-2013,2013,1,Web Development,1623975
701634,ExpressJS Fundamentals,0,Free,21245,914,9,All Levels,0.19,1,11-01-2016,2016,1,Web Development,0
357726,Spring Framework 4 And Dependency Injection For Beginners,0,Free,21147,1220,16,Beginner Level,0.74,1.5,16-01-2015,2015,1,Web Development,0
197828,Learn to Setup Websites from Scratch,0,Free,21087,154,24,Intermediate Level,0.14,3.5,14-04-2014,2014,4,Web Development,0
382786,Sass Workflow,0,Free,20890,945,21,Beginner Level,0.22,3,06-02-2015,2015,2,Web Development,0
806922,The Complete ASP.NET MVC 5 Course,190,Paid,20652,6357,138,Beginner Level,0.63,7.5,16-05-2016,2016,5,Web Development,3923880
766592,HTML Complete Course - Beginner to Expert,0,Free,20073,615,28,Intermediate Level,0.03,1.5,29-02-2016,2016,2,Web Development,0
162274,Joomla 3 - The Basics,0,Free,19909,411,17,All Levels,0.46,3,12-02-2014,2014,2,Web Development,0
714724,Docker Technologies for DevOps and Developers,30,Paid,19210,3137,44,All Levels,0.57,3,29-08-2016,2016,8,Web Development,576300
231176,Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month,50,Paid,18818,407,80,Beginner Level,0.89,11,03-06-2014,2014,6,Web Development,940900
445534,Learn AngularJS Step By Step,20,Paid,18777,1112,21,Beginner Level,0.88,1.5,07-07-2015,2015,7,Web Development,375540
297390,Joomla: Create a Joomla Website This Weekend With NO CODING!,0,Free,18496,386,30,All Levels,0.34,2,06-10-2014,2014,10,Web Development,0
64605,1 Hour CSS,100,Paid,18324,333,16,All Levels,0.66,1,09-07-2013,2013,7,Web Development,1832400
